 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
420,1 pat p30 7 day ctrl 10x 1_colony_1.tiff,379,73.497,0.882,96645,96645,1.428,0.7,0.942,26.253,18.381
421,1 pat p30 7 day ctrl 10x 1_colony_10.tiff,188,50.284,0.934,47940,47940,1.2,0.833,0.935,17.592,15.127
422,1 pat p30 7 day ctrl 10x 1_colony_11.tiff,280,63.841,0.863,71400,71400,1.444,0.693,0.926,24.473,17.221
423,1 pat p30 7 day ctrl 10x 1_colony_12.tiff,280,66.326,0.8,71400,71400,1.928,0.519,0.929,26.216,13.599
424,1 pat p30 7 day ctrl 10x 1_colony_13.tiff,238,58.184,0.883,60690,60690,1.367,0.732,0.928,22.31,16.436
425,1 pat p30 7 day ctrl 10x 1_colony_14.tiff,208,54.77,0.871,53040,53040,1.406,0.711,0.92,22.609,16.332
426,1 pat p30 7 day ctrl 10x 1_colony_15.tiff,434,80.426,0.843,110670,110670,1.613,0.62,0.941,31.794,20.183
427,1 pat p30 7 day ctrl 10x 1_colony_16.tiff,185,51.113,0.89,47175,47175,1.331,0.751,0.927,19.558,14.778
428,1 pat p30 7 day ctrl 10x 1_colony_17.tiff,248,58.184,0.921,63240,63240,1.205,0.83,0.931,21.745,17.741
429,1 pat p30 7 day ctrl 10x 1_colony_18.tiff,232,57.698,0.876,59160,59160,1.459,0.685,0.935,23.435,15.864
430,1 pat p30 7 day ctrl 10x 1_colony_19.tiff,327,67.941,0.89,83385,83385,1.232,0.812,0.945,24.188,19.74
431,1 pat p30 7 day ctrl 10x 1_colony_2.tiff,255,58.527,0.935,65025,65025,1.209,0.827,0.948,23.969,17.689
432,1 pat p30 7 day ctrl 10x 1_colony_20.tiff,392,76.083,0.851,99960,99960,1.576,0.635,0.934,28.046,17.796
433,1 pat p30 7 day ctrl 10x 1_colony_21.tiff,657,100.326,0.82,167535,167535,1.236,0.809,0.921,32.153,26.017
434,1 pat p30 7 day ctrl 10x 1_colony_22.tiff,261,63.255,0.82,66555,66555,1.691,0.591,0.921,23.708,14.017
435,1 pat p30 7 day ctrl 10x 1_colony_23.tiff,226,56.184,0.9,57630,57630,1.372,0.729,0.926,20.883,15.73
436,1 pat p30 7 day ctrl 10x 1_colony_24.tiff,130,43.113,0.879,33150,33150,1.275,0.784,0.897,16.035,12.545
437,1 pat p30 7 day ctrl 10x 1_colony_25.tiff,255,58.184,0.947,65025,65025,1.126,0.888,0.944,19.124,16.977
438,1 pat p30 7 day ctrl 10x 1_colony_26.tiff,310,68.083,0.84,79050,79050,1.513,0.661,0.925,26.499,19.028
439,1 pat p30 7 day ctrl 10x 1_colony_27.tiff,221,54.77,0.926,56355,56355,1.376,0.727,0.931,22.476,16.372
440,1 pat p30 7 day ctrl 10x 1_colony_28.tiff,135,42.042,0.96,34425,34425,1.317,0.759,0.947,15.634,11.727
441,1 pat p30 7 day ctrl 10x 1_colony_29.tiff,230,56.77,0.897,58650,58650,1.501,0.666,0.939,22.585,14.996
