 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
29,colony_1023.tiff,1892,166.267,0.86,482460,482460,1.501,0.666,0.969,1
30,colony_1024.tiff,1885,169.823,0.821,480675,480675,1.46,0.685,0.92,1
31,colony_1025.tiff,1854,162.853,0.878,472770,472770,1.335,0.749,0.97,1
32,colony_1026.tiff,954,129.054,0.72,243270,243270,1.969,0.508,0.927,1
33,colony_1027.tiff,2176,180.267,0.841,554880,554880,1.373,0.728,0.962,1
35,colony_1029.tiff,2106,174.752,0.867,537030,537030,1.363,0.734,0.961,1
36,colony_103.tiff,2238,178.066,0.887,570690,570690,1.226,0.816,0.969,1
37,colony_1030.tiff,1740,155.924,0.899,443700,443700,1.285,0.778,0.972,1
38,colony_1031.tiff,1600,154.024,0.848,408000,408000,1.498,0.668,0.966,1
39,colony_1032.tiff,1520,161.782,0.73,387600,387600,1.45,0.69,0.827,1
43,colony_1036.tiff,1492,146.61,0.872,380460,380460,1.243,0.804,0.943,1
44,colony_1037.tiff,2136,175.48,0.872,544680,544680,1.188,0.842,0.949,1
45,colony_1038.tiff,1585,177.095,0.635,404175,404175,1.21,0.826,0.851,1
46,colony_1039.tiff,2658,248.492,0.541,677790,677790,2.713,0.369,0.884,1
47,colony_104.tiff,1702,152.368,0.921,434010,434010,1.115,0.897,0.975,1
48,colony_1040.tiff,1644,160.51,0.802,419220,419220,1.591,0.629,0.95,1
49,colony_1041.tiff,1995,170.267,0.865,508725,508725,1.422,0.703,0.97,1
50,colony_1042.tiff,2835,203.723,0.858,722925,722925,1.21,0.826,0.955,1
51,colony_1043.tiff,2207,177.823,0.877,562785,562785,1.327,0.754,0.97,1
52,colony_1044.tiff,1721,161.581,0.828,438855,438855,1.282,0.78,0.947,1
53,colony_1045.tiff,1638,158.267,0.822,417690,417690,1.519,0.658,0.942,1
54,colony_1046.tiff,1682,172.853,0.707,428910,428910,1.511,0.662,0.885,1
55,colony_1047.tiff,960,140.953,0.607,244800,244800,1.538,0.65,0.841,1
56,colony_1048.tiff,1795,167.782,0.801,457725,457725,1.688,0.592,0.959,1
57,colony_1049.tiff,1581,227.522,0.384,403155,403155,1.319,0.758,0.839,1
