 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
178,7 pat p30 7 day ctrl 10x 1_colony_64.tiff,162,45.698,0.975,41310,41310,1.109,0.902,0.934,14.301,12.999
179,7 pat p30 7 day ctrl 10x 1_colony_65.tiff,384,73.012,0.905,97920,97920,1.38,0.725,0.947,25.973,18.824
180,7 pat p30 7 day ctrl 10x 1_colony_66.tiff,257,59.355,0.917,65535,65535,1.27,0.787,0.936,20.387,16.051
181,7 pat p30 7 day ctrl 10x 1_colony_67.tiff,275,60.184,0.954,70125,70125,1.151,0.869,0.942,20.078,17.439
182,7 pat p30 7 day ctrl 10x 1_colony_68.tiff,165,46.627,0.954,42075,42075,1.176,0.85,0.951,15.72,13.364
183,7 pat p30 7 day ctrl 10x 1_colony_69.tiff,229,55.113,0.947,58395,58395,1.12,0.893,0.944,18.071,16.135
184,7 pat p30 7 day ctrl 10x 1_colony_7.tiff,171,47.113,0.968,43605,43605,1.182,0.846,0.932,17.067,14.174
185,7 pat p30 7 day ctrl 10x 1_colony_70.tiff,155,45.698,0.933,39525,39525,1.235,0.81,0.928,16.597,13.579
186,7 pat p30 7 day ctrl 10x 1_colony_71.tiff,196,51.113,0.943,49980,49980,1.21,0.827,0.931,18.356,15.191
187,7 pat p30 7 day ctrl 10x 1_colony_72.tiff,224,53.941,0.967,57120,57120,1.071,0.934,0.943,17.479,16.317
188,7 pat p30 7 day ctrl 10x 1_colony_73.tiff,222,54.527,0.938,56610,56610,1.145,0.874,0.937,19.27,16.849
189,7 pat p30 7 day ctrl 10x 1_colony_74.tiff,199,51.698,0.936,50745,50745,1.24,0.806,0.939,17.725,14.294
190,7 pat p30 7 day ctrl 10x 1_colony_75.tiff,157,45.698,0.945,40035,40035,1.312,0.762,0.932,17.319,13.601
191,7 pat p30 7 day ctrl 10x 1_colony_76.tiff,182,49.113,0.948,46410,46410,1.298,0.77,0.936,18.654,14.607
192,7 pat p30 7 day ctrl 10x 1_colony_77.tiff,204,52.527,0.929,52020,52020,1.261,0.793,0.932,18.099,14.351
193,7 pat p30 7 day ctrl 10x 1_colony_78.tiff,282,62.77,0.899,71910,71910,1.183,0.846,0.932,20.607,17.424
194,7 pat p30 7 day ctrl 10x 1_colony_79.tiff,196,51.355,0.934,49980,49980,1.323,0.756,0.931,19.366,14.398
195,7 pat p30 7 day ctrl 10x 1_colony_8.tiff,198,51.941,0.922,50490,50490,1.217,0.821,0.923,18.381,15.17
196,7 pat p30 7 day ctrl 10x 1_colony_80.tiff,242,56.77,0.944,61710,61710,1.126,0.888,0.934,18.629,16.54
197,7 pat p30 7 day ctrl 10x 1_colony_81.tiff,207,52.284,0.952,52785,52785,1.354,0.739,0.95,18.89,13.952
198,7 pat p30 7 day ctrl 10x 1_colony_82.tiff,194,51.941,0.904,49470,49470,1.345,0.743,0.922,19.234,14.365
199,7 pat p30 7 day ctrl 10x 1_colony_84.tiff,188,51.113,0.904,47940,47940,1.276,0.783,0.922,18.73,14.751
