 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
166,1 pat p30 7 day ctrl 10x 3_colony_183.tiff,568,89.255,28.123,25.716,110.996,0.896,144840,144840,1.094,0.914,0.946
167,1 pat p30 7 day ctrl 10x 3_colony_184.tiff,360,69.841,23.613,19.412,18.038,0.927,91800,91800,1.216,0.822,0.941
168,1 pat p30 7 day ctrl 10x 3_colony_185.tiff,476,82.326,28.593,21.196,50.496,0.883,121380,121380,1.349,0.741,0.944
169,1 pat p30 7 day ctrl 10x 3_colony_186.tiff,346,73.012,25.148,17.518,43.923,0.816,88230,88230,1.436,0.697,0.919
170,1 pat p30 7 day ctrl 10x 3_colony_187.tiff,345,69.841,25.094,17.505,38.297,0.889,87975,87975,1.434,0.698,0.935
171,1 pat p30 7 day ctrl 10x 3_colony_188.tiff,307,66.083,23.594,16.567,140.516,0.883,78285,78285,1.424,0.702,0.929
172,1 pat p30 7 day ctrl 10x 3_colony_189.tiff,372,73.841,23.586,20.081,158.580,0.857,94860,94860,1.175,0.851,0.925
173,1 pat p30 7 day ctrl 10x 3_colony_190.tiff,531,87.740,28.607,23.634,96.512,0.867,135405,135405,1.210,0.826,0.930
174,1 pat p30 7 day ctrl 10x 3_colony_191.tiff,211,53.941,19.033,14.115,109.659,0.911,53805,53805,1.348,0.742,0.936
175,1 pat p30 7 day ctrl 10x 3_colony_192.tiff,388,79.255,28.181,17.530,162.361,0.776,98940,98940,1.608,0.622,0.895
176,1 pat p30 7 day ctrl 10x 3_colony_193.tiff,254,57.941,20.804,15.545,158.783,0.951,64770,64770,1.338,0.747,0.951
177,1 pat p30 7 day ctrl 10x 3_colony_194.tiff,223,57.355,21.868,12.984,168.241,0.852,56865,56865,1.684,0.594,0.927
178,1 pat p30 7 day ctrl 10x 3_colony_195.tiff,410,79.255,28.146,18.547,167.552,0.820,104550,104550,1.518,0.659,0.919
179,1 pat p30 7 day ctrl 10x 3_colony_196.tiff,281,61.841,19.464,18.381,57.036,0.923,71655,71655,1.059,0.944,0.927
180,1 pat p30 7 day ctrl 10x 3_colony_197.tiff,354,69.255,23.952,18.818,167.423,0.927,90270,90270,1.273,0.786,0.945
181,1 pat p30 7 day ctrl 10x 3_colony_198.tiff,198,51.941,18.847,13.376,166.307,0.922,50490,50490,1.409,0.710,0.932
182,1 pat p30 7 day ctrl 10x 3_colony_199.tiff,206,51.941,18.013,14.561,9.473,0.960,52530,52530,1.237,0.808,0.941
183,1 pat p30 7 day ctrl 10x 3_colony_200.tiff,297,65.598,22.956,16.473,19.806,0.867,75735,75735,1.394,0.718,0.928
184,1 pat p30 7 day ctrl 10x 3_colony_201.tiff,226,55.598,19.154,15.023,164.055,0.919,57630,57630,1.275,0.784,0.926
185,1 pat p30 7 day ctrl 10x 3_colony_202.tiff,259,60.770,22.504,14.654,75.284,0.881,66045,66045,1.536,0.651,0.932
186,1 pat p30 7 day ctrl 10x 3_colony_203.tiff,338,68.184,22.851,18.833,84.657,0.914,86190,86190,1.213,0.824,0.943
187,1 pat p30 7 day ctrl 10x 3_colony_204.tiff,332,67.598,21.842,19.354,151.497,0.913,84660,84660,1.129,0.886,0.937
