 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
384,7 pat p30 7 day ctrl 10x 2_colony_402.tiff,223,55.113,18.423,15.412,44.107,0.923,56865,56865,1.195,0.837,0.941
385,7 pat p30 7 day ctrl 10x 2_colony_403.tiff,168,48.527,17.137,12.482,72.131,0.897,42840,42840,1.373,0.728,0.921
386,7 pat p30 7 day ctrl 10x 2_colony_404.tiff,482,81.497,27.176,22.583,149.170,0.912,122910,122910,1.203,0.831,0.948
387,7 pat p30 7 day ctrl 10x 2_colony_405.tiff,172,51.113,18.369,11.922,109.128,0.827,43860,43860,1.541,0.649,0.915
388,7 pat p30 7 day ctrl 10x 2_colony_406.tiff,398,73.255,25.187,20.119,126.244,0.932,101490,101490,1.252,0.799,0.950
389,7 pat p30 7 day ctrl 10x 2_colony_407.tiff,192,50.284,17.489,13.978,70.874,0.954,48960,48960,1.251,0.799,0.943
390,7 pat p30 7 day ctrl 10x 2_colony_408.tiff,192,50.527,16.588,14.738,137.418,0.945,48960,48960,1.126,0.888,0.930
391,7 pat p30 7 day ctrl 10x 2_colony_409.tiff,232,55.941,19.064,15.495,33.732,0.932,59160,59160,1.230,0.813,0.935
392,7 pat p30 7 day ctrl 10x 2_colony_410.tiff,273,60.770,19.595,17.739,178.732,0.929,69615,69615,1.105,0.905,0.935
393,7 pat p30 7 day ctrl 10x 2_colony_411.tiff,281,64.426,22.503,15.899,18.615,0.851,71655,71655,1.415,0.707,0.924
